instance_path,m,n,seed,exact_sol,exact_time,u1_sol,u2_sol,h_rho1_sol,h_rho2_sol,h_rho2_time
dataset_D1/m_07_n_08_seed_06.txt,7,8,6,1378,0.041358,3293,1479,1615,1389,0.0184024
dataset_D1/m_07_n_08_seed_07.txt,7,8,7,1447,0.028304,3224,1628,1591,1460,0.0130878
dataset_D1/m_07_n_08_seed_08.txt,7,8,8,1444,0.035388,3209,1654,1558,1444,0.0151745
dataset_D1/m_07_n_08_seed_09.txt,7,8,9,1550,0.0377473,3295,1619,1628,1550,0.0160423
dataset_D1/m_07_n_10_seed_00.txt,7,10,0,1847,0.0512253,4211,2084,1996,1851,0.0223562
dataset_D1/m_07_n_10_seed_01.txt,7,10,1,1610,0.054696,4134,1774,1733,1612,0.0257286
dataset_D1/m_07_n_10_seed_02.txt,7,10,2,1890,0.0470906,4581,2094,2157,1897,0.0183581
dataset_D1/m_07_n_10_seed_03.txt,7,10,3,1979,0.0493921,4531,2228,2251,1988,0.016385
dataset_D1/m_07_n_10_seed_04.txt,7,10,4,1794,0.0437825,4114,2021,2111,1797,0.0169771
dataset_D1/m_07_n_10_seed_05.txt,7,10,5,1808,0.0473291,4458,1940,1939,1818,0.0231823
dataset_D1/m_07_n_10_seed_06.txt,7,10,6,1769,0.0486277,4165,1990,1955,1769,0.0191858
dataset_D1/m_07_n_10_seed_07.txt,7,10,7,1812,0.0452056,3964,2014,2072,1821,0.0225258
dataset_D1/m_07_n_10_seed_08.txt,7,10,8,1727,0.0412424,4267,1849,1935,1741,0.0190009
dataset_D1/m_07_n_10_seed_09.txt,7,10,9,1822,0.054367,4191,2060,1981,1840,0.0183177
dataset_D1/m_07_n_12_seed_00.txt,7,12,0,2063,0.0576333,4800,2214,2212,2063,0.0241429
dataset_D1/m_07_n_12_seed_01.txt,7,12,1,2111,0.0716389,5320,2240,2247,2120,0.0284889
dataset_D1/m_07_n_12_seed_02.txt,7,12,2,2163,0.0691903,5430,2339,2331,2167,0.028357
dataset_D1/m_07_n_12_seed_03.txt,7,12,3,2137,0.0584334,5497,2380,2335,2154,0.0219549
dataset_D1/m_07_n_12_seed_04.txt,7,12,4,2373,0.0597574,5666,2600,2554,2378,0.0227769
dataset_D1/m_07_n_12_seed_05.txt,7,12,5,2194,0.0625445,5238,2422,2318,2203,0.0260139
dataset_D1/m_07_n_12_seed_06.txt,7,12,6,2015,0.0694113,5238,2157,2121,2036,0.0276518
dataset_D1/m_07_n_12_seed_07.txt,7,12,7,1970,0.0599637,5411,2231,2076,1970,0.026163
dataset_D1/m_07_n_12_seed_08.txt,7,12,8,2219,0.0580748,5268,2446,2396,2247,0.026271
dataset_D1/m_07_n_12_seed_09.txt,7,12,9,2280,0.0642298,5664,2483,2447,2292,0.0276533
dataset_D1/m_07_n_14_seed_00.txt,7,14,0,2379,0.0761507,6008,2643,2558,2392,0.0319716
dataset_D1/m_07_n_14_seed_01.txt,7,14,1,2260,0.0786671,5905,2418,2468,2283,0.0314107
dataset_D1/m_07_n_14_seed_02.txt,7,14,2,2236,0.0700138,5850,2464,2405,2238,0.0310366
dataset_D1/m_07_n_14_seed_03.txt,7,14,3,2445,0.0565976,6289,2730,2688,2466,0.0264273
dataset_D1/m_07_n_14_seed_04.txt,7,14,4,2444,0.0721022,5784,2710,2635,2467,0.0299946
